%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1597380911215694640,70,1596774730610033989,base_link,2,0,-6.87081271383,107.572800295,863.631,2.07778310378,-5.54153944954e-13,-8.54605441044e-15,-5.54181700529e-13,2.07778310379,-1.3795003491e-15,-8.54605441044e-15,-1.3795003491e-15,1.07443763858e-06,3
1597380911415947035,71,1596774730769984007,base_link,2,0,-6.87081214463,107.572798604,863.631,1.80524655099,1.39901978891e-13,-7.42988989456e-15,1.39888101103e-13,1.80524655099,-1.20255081967e-15,-7.42988989456e-15,-1.20255081967e-15,1.07297764864e-06,3
1597380911615445515,72,1596774730969743967,base_link,2,0,-6.87081149273,107.572796395,863.631,1.72545597146,-1.98327465561e-13,-7.18779388062e-15,-1.98341343349e-13,1.72545597146,-1.1447764345e-15,-7.18779388062e-15,-1.1447764345e-15,1.07394510924e-06,3
1597380911815866230,73,1596774731169764996,base_link,2,0,-6.87081105825,107.572794307,863.631,2.27790666165,2.09929296169e-13,-9.46873798095e-15,2.09929296169e-13,2.27790666166,-1.5972666737e-15,-9.46873798095e-15,-1.59726667369e-15,1.07416563739e-06,3
1597380912015255452,74,1596774731369329929,base_link,2,0,-6.87081043278,107.572792249,863.631,1.95163276916,-1.96009874998e-13,-8.07002620383e-15,-1.96023752785e-13,1.95163276917,-1.30770860319e-15,-8.07002620384e-15,-1.30770860318e-15,1.07414964822e-06,3
1597380912215315511,75,1596774731608995914,base_link,2,0,-6.87080970895,107.572789698,863.631,2.08941428328,-1.36833600006e-12,-8.59865056359e-15,-1.36834987785e-12,2.08941428328,-1.39400952739e-15,-8.59865056359e-15,-1.39400952739e-15,1.07432733329e-06,3
1597380912416948954,76,1596774731808846951,base_link,2,0,-6.87080917877,107.572787768,863.631,2.70463082811,5.50642864638e-13,-1.11260790548e-14,5.50656742426e-13,2.70463082811,-1.79601281204e-15,-1.11260790548e-14,-1.79601281204e-15,1.07381814201e-06,3
1597380912615687376,77,1596774732008769989,base_link,2,0,-6.87080873803,107.572785517,863.631,2.64872895385,-8.29378232758e-13,-1.08949498293e-14,-8.29392110546e-13,2.64872895384,-1.75769194955e-15,-1.08949498293e-14,-1.75769194956e-15,1.07469764997e-06,3
1597380912815083370,78,1596774732208558083,base_link,2,0,-6.87080808743,107.572783317,863.631,3.350332731,6.80011602583e-13,-1.37860708762e-14,6.80011602583e-13,3.35033273099,-2.22535900881e-15,-1.37860708763e-14,-2.22535900882e-15,1.07459665432e-06,3
1597380913015616833,79,1596774732408245087,base_link,2,0,-6.87080807537,107.572782553,863.631,2.42579039675,-8.85777562409e-13,-9.98232295266e-15,-8.85777562409e-13,2.42579039675,-1.6091918946e-15,-9.98232295276e-15,-1.60919189463e-15,1.07454007175e-06,3
1597380913214915088,80,1596774732608099937,base_link,2,0,-6.87080763177,107.57277974,863.631,2.17726208242,-3.23671645042e-13,-8.95653202393e-15,-3.23657767254e-13,2.17726208242,-1.44543482721e-15,-8.95653202373e-15,-1.44543482717e-15,1.07475840097e-06,3
1597380913415454486,81,1596774732808089972,base_link,2,0,-6.87080688598,107.572777779,863.631,2.79143188313,2.37862507468e-12,-1.142462853e-14,2.37863895247e-12,2.79143188313,-2.04284089551e-15,-1.142462853e-14,-2.04284089551e-15,1.07481891184e-06,3
1597380913614954851,82,1596774732967510939,base_link,2,0,-6.87080661719,107.572775627,863.631,2.22366608798,1.69136926687e-12,-9.12059703382e-15,1.69135538908e-12,2.22366608797,-1.39550888669e-15,-9.12059703379e-15,-1.39550888669e-15,1.07410218784e-06,3
1597380913814967925,83,1596774733167174101,base_link,2,0,-6.87080612403,107.572772758,863.631,2.0269716555,-1.78482228996e-13,-8.29014379909e-15,-1.78482228996e-13,2.0269716555,-1.37124882142e-15,-8.29014379909e-15,-1.37124882142e-15,1.07385814117e-06,3
1597380914015500481,84,1596774733406930923,base_link,2,0,-6.87080538224,107.572769957,863.631,2.74489285826,9.2907626037e-13,-1.12892938778e-14,9.2907626037e-13,2.74489285826,-1.82754640639e-15,-1.1289293878e-14,-1.8275464064e-15,1.07421402925e-06,3
1597380914214988001,85,1596774733606791973,base_link,2,0,-6.87080548833,107.572767649,863.631,2.32408442758,3.43988726392e-13,-9.55771816149e-15,3.43988726392e-13,2.32408442758,-1.54766530537e-15,-9.55771816149e-15,-1.54766530538e-15,1.0745344041e-06,3
1597380914416123256,86,1596774733806556940,base_link,2,0,-6.87080493769,107.572765323,863.631,2.96262273607,-1.32480137971e-12,-1.21558502835e-14,-1.32480137971e-12,2.96262273606,-1.85152806626e-15,-1.21558502835e-14,-1.85152806626e-15,1.07381466735e-06,3
1597380914615995726,87,1596774734006382942,base_link,2,0,-6.87080433729,107.57276294,863.631,2.54402633249,9.7585828307e-13,-1.04622185059e-14,9.75844405282e-13,2.54402633248,-1.69249553654e-15,-1.04622185061e-14,-1.69249553658e-15,1.05678016733e-06,3
1597380914815193380,88,1596774734206262112,base_link,2,0,-6.87080409378,107.572760693,863.631,2.34552580251,-1.05310205001e-12,-9.6908907852e-15,-1.05310205001e-12,2.34552580251,-1.64474643654e-15,-9.6908907852e-15,-1.64474643654e-15,1.07441977064e-06,3
1597380915015784230,89,1596774734405936003,base_link,2,0,-6.87080356617,107.572758147,863.631,2.98143940032,-1.48239753806e-12,-1.22021011357e-14,-1.48239753806e-12,2.98143940033,-1.89206253125e-15,-1.22021011357e-14,-1.89206253128e-15,1.07402827821e-06,3
1597380915215094563,90,1596774734565694094,base_link,2,0,-6.87080350587,107.572756751,863.631,3.40632137075,-3.3869851368e-12,-1.41434381068e-14,-3.38695738122e-12,3.40632137076,-2.20922056657e-15,-1.41434381068e-14,-2.20922056657e-15,1.07393112139e-06,3
1597380915416102967,91,1596774734765621901,base_link,2,0,-6.87080345682,107.572756038,863.631,2.69837076682,-1.33686117731e-12,-1.11099639643e-14,-1.33684729953e-12,2.69837076682,-1.72408408831e-15,-1.11099639643e-14,-1.72408408831e-15,1.07389514557e-06,3
1597380915615163787,92,1596774734965234041,base_link,2,0,-6.87080277342,107.572753534,863.631,2.65962225993,1.06076258888e-12,-1.09188251527e-14,1.06076258888e-12,2.65962225993,-1.76627867722e-15,-1.09188251526e-14,-1.76627867721e-15,1.07390218341e-06,3
1597380915816166536,93,1596774735205017090,base_link,2,0,-6.87080166819,107.572750902,863.631,2.7638809289,-2.94084201435e-13,-1.13665367862e-14,-2.94070323648e-13,2.7638809289,-1.83504821848e-15,-1.13665367862e-14,-1.83504821845e-15,1.07400550558e-06,3
1597380916015655312,94,1596774735364903927,base_link,2,0,-6.87080100805,107.572749146,863.631,2.43942066097,2.17229012556e-13,-9.93921075129e-15,2.1720125698e-13,2.43942066097,-1.71879199963e-15,-9.93921075129e-15,-1.71879199963e-15,1.07389678085e-06,3
1597380916215869449,95,1596774735604578972,base_link,2,0,-6.87080022513,107.572746434,863.631,2.61485941732,-1.44215195341e-12,-1.0699711233e-14,-1.44213807562e-12,2.61485941733,-1.88662145467e-15,-1.0699711233e-14,-1.88662145466e-15,1.07357581138e-06,3
1597380916415980332,96,1596774735805279970,base_link,2,0,-6.87079952242,107.572744478,863.631,3.29385340949,-1.00668084979e-12,-1.363630387e-14,-1.00668084979e-12,3.29385340949,-2.16802013913e-15,-1.36363038699e-14,-2.16802013912e-15,1.07545585178e-06,3
